Campo Formativo,Materia,Grado,Contenido,Proceso de Desarrollo de Aprendizaje (PDA)
Lenguajes,Español,2º,"Recursos literarios en lengua española para expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad.","Analiza recursos literarios en lengua española, para expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad, y los plasma en hojas de literatura, folletines u otros formatos para difundirlos en la comunidad escolar."
Lenguajes,Español,3º,"Recursos literarios en lengua española para expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad.","Recupera recursos literarios de la lengua española para crear un texto libre que los utilice con la intención de expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad."
Lenguajes,Español,1º,Los elementos y los recursos estéticos de los textos informativos en lengua española.,Analiza los elementos y los recursos estéticos de los textos informativos e identifica los que más le interesan para compartirlos con sus pares.
Lenguajes,Español,2º,Los elementos y los recursos estéticos de los textos informativos en lengua española.,"Selecciona textos informativos de su interés para analizar sus características estéticas, identificar su función social y proponer formas de compartirlos en la escuela y en la comunidad."
Lenguajes,Español,3º,Los elementos y los recursos estéticos de los textos informativos en lengua española.,"Emplea de manera creativa e intencional las características y recursos estéticos de los textos informativos para realizar una presentación escolar (infografía, mural, periódico escolar u otros) y difundirlos en la comunidad escolar."
Lenguajes,Español,1º,Los textos de divulgación científica en lengua española.,Identifica las características del texto de divulgación científica y elabora uno.
Lenguajes,Español,2º,Los textos de divulgación científica en lengua española.,"Analiza las características del texto de divulgación científica, para elaborar y difundir uno en la comunidad escolar."
Lenguajes,Español,3º,Los textos de divulgación científica en lengua española.,"Elabora una propuesta de divulgación científica, con base en un tema de su interés, para fomentar el conocimiento científico en la comunidad."
Lenguajes,Español,1º,Comunicación asertiva y dialógica en lengua española para erradicar expresiones de violencia.,"Realiza, de manera colectiva, una propuesta creativa para erradicar expresiones de violencia en la escuela y en la comunidad, a través de la comunicación asertiva y dialógica."
Lenguajes,Español,2º,Comunicación asertiva y dialógica en lengua española para erradicar expresiones de violencia.,"Participa en un debate en lengua española sobre la importancia de la comunicación asertiva y dialógica en la familia, escuela y comunidad, para erradicar expresiones de violencia."
Lenguajes,Español,3º,Comunicación asertiva y dialógica en lengua española para erradicar expresiones de violencia.,Redacta textos informativos o argumentativos en lengua española sobre la importancia de la comunicación asertiva y dialógica en la solución de conflictos socioambientales en la escuela y en la comunidad.
Lenguajes,Español,1º,"Mensajes en lengua española en medios de comunicación masiva, que promuevan una vida saludable.",Identifica características de mensajes en lengua española en medios de comunicación masiva que promuevan una vida saludable y los comparte de manera oral o escrita en el entorno escolar.
Lenguajes,Español,2º,"Mensajes en lengua española en medios de comunicación masiva, que promuevan una vida saludable.","Analiza las características de mensajes en lengua española en medios de comunicación masiva que promuevan una vida saludable, para diseñar una propuesta de difusión dirigida a la comunidad escolar."
Lenguajes,Español,3º,"Mensajes en lengua española en medios de comunicación masiva, que promuevan una vida saludable.","Elabora una campaña de comunicación masiva en lengua española para promover una vida saludable en la escuela y en la comunidad, haciendo uso de los recursos de los lenguajes."
Lenguajes,Español,1º,El texto argumentativo en lengua española para expresar opiniones sobre temas de interés comunitario.,Escribe textos argumentativos breves en lengua española sobre temas de interés comunitario y los comparte en el entorno escolar de manera oral o escrita.
Lenguajes,Español,2º,El texto argumentativo en lengua española para expresar opiniones sobre temas de interés comunitario.,Analiza textos argumentativos en lengua española sobre temas de interés comunitario y expresa sus opiniones de manera oral o escrita fundamentando sus puntos de vista.
Lenguajes,Español,3º,El texto argumentativo en lengua española para expresar opiniones sobre temas de interés comunitario.,"Elabora un ensayo argumentativo en lengua española sobre un tema de interés comunitario de su elección, fundamentando sus puntos de vista y compartiéndolo con la comunidad escolar."
Lenguajes,Inglés,1º,La diversidad lingüística y sus formas de expresión en México y el mundo.,"Hace uso del alfabeto, los números y las expresiones básicas en inglés, para nombrar y recuperar datos factuales y características básicas de lenguas reconocidas en México y el mundo."
Lenguajes,Inglés,2º,La diversidad lingüística y sus formas de expresión en México y el mundo.,"Comprende textos narrativos y biográficos en inglés sobre la vida cotidiana, formas de interacción y comportamiento de hablantes de diversas lenguas de México y el mundo en el pasado, y lo expresa en organizadores gráficos, infografías u otras formas de presentación escrita y oral."
Lenguajes,Inglés,3º,La diversidad lingüística y sus formas de expresión en México y el mundo.,Utiliza diversos tipos de texto y medios de comunicación para expresar y difundir en inglés prácticas culturales y lingüísticas diversas de sociedades en México y el mundo.
Lenguajes,Inglés,1º,La identidad y cultura de pueblos de habla inglesa.,"Recupera información para llevar a cabo presentaciones en inglés, orales y escritas, que describan rasgos étnicos, culturales e identitarios de hablantes de lengua inglesa."
Lenguajes,Inglés,2º,La identidad y cultura de pueblos de habla inglesa.,"Elabora fichas informativas en inglés sobre rasgos identitarios de pueblos de habla inglesa (acento, grafía, vestimenta, comida, tradiciones, costumbres, entre otros)."
Lenguajes,Inglés,3º,La identidad y cultura de pueblos de habla inglesa.,"Construye una propuesta de comunicación en inglés, oral y escrita, donde contraste, valore y promueva rasgos de una sociedad intercultural identificados en pueblos de habla inglesa."
Lenguajes,Inglés,1º,"Las manifestaciones culturales, lingüísticas y artísticas en inglés a favor de la interculturalidad.",Elabora un cómic o manga en inglés sobre situaciones donde se rescata la importancia de la interculturalidad.
Lenguajes,Inglés,2º,"Las manifestaciones culturales, lingüísticas y artísticas en inglés a favor de la interculturalidad.",Interpreta juegos de roles en inglés sobre situaciones que favorezcan la comunicación asertiva.
Lenguajes,Inglés,3º,"Las manifestaciones culturales, lingüísticas y artísticas en inglés a favor de la interculturalidad.","Elabora guiones en inglés que aborden situaciones de conflicto resueltas mediante la comunicación asertiva e intercultural, y los dramatiza."
Lenguajes,Inglés,1º,Uso de diversos textos en inglés que promueven la preservación y conservación de las lenguas.,"Recupera estrategias acerca de la conservación y preservación de las lenguas, planteadas en textos informativos y científicos en inglés, y las difunde."
Lenguajes,Inglés,2º,Uso de diversos textos en inglés que promueven la preservación y conservación de las lenguas.,"Indaga y construye propuestas en inglés para conservar y preservar las lenguas, como legado y sentido de pertenencia, y las difunde por algún medio de comunicación."
Lenguajes,Inglés,3º,Uso de diversos textos en inglés que promueven la preservación y conservación de las lenguas.,"Participa en un debate en inglés sobre los cambios lingüísticos y culturales de las lenguas en el transcurso del tiempo, y su impacto en la conformación de nuevas prácticas sociales."
Lenguajes,Inglés,1º,"El uso del inglés para expresar necesidades, intereses y problemas de la comunidad.","Investiga en textos en inglés soluciones implementadas sobre problemas de una comunidad, e informa de manera oral o escrita sus hallazgos."
Lenguajes,Inglés,2º,"El uso del inglés para expresar necesidades, intereses y problemas de la comunidad.",Elabora escritos argumentativos en inglés sobre acciones colectivas que posibiliten la solución de problemas de una comunidad.
Lenguajes,Inglés,3º,"El uso del inglés para expresar necesidades, intereses y problemas de la comunidad.",Organiza una campaña en inglés sobre soluciones a problemas de la comunidad.
Lenguajes,Inglés,1º,Elementos y recursos estéticos del inglés.,"Recupera de distintos tipos de textos literarios en inglés, expresiones, elementos y recursos estéticos y elabora un glosario."
Lenguajes,Inglés,2º,Elementos y recursos estéticos del inglés.,"Identifica y explica el uso de expresiones, elementos y recursos estéticos en manifestaciones culturales y artísticas de países de habla inglesa."
Lenguajes,Inglés,3º,Elementos y recursos estéticos del inglés.,"Emplea algunas figuras retóricas, elementos y recursos estéticos, para construir un texto literario corto, oral y escrito, para difundirlo en la comunidad escolar."
Lenguajes,Inglés,1º,Manifestaciones artísticas y culturales del inglés.,Realiza una lectura crítica y emite su opinión en inglés sobre diversas manifestaciones culturales y artísticas de pueblos de habla inglesa.
Lenguajes,Inglés,2º,Manifestaciones artísticas y culturales del inglés.,"Selecciona alguna manifestación artística o cultural y la difunde en inglés, mediante diversos elementos y recursos artísticos."
Lenguajes,Inglés,3º,Manifestaciones artísticas y culturales del inglés.,"Crea poemas cortos a partir del uso de recursos estéticos del inglés en producciones orales y escritas, para difundirse en la comunidad escolar."
Lenguajes,Inglés,1º,Creaciones literarias tradicionales y contemporáneas en inglés.,"Selecciona textos literarios en inglés que aborden temas de la comunidad o de algún lugar de interés, los resume y difunde por distintos medios."
Lenguajes,Inglés,2º,Creaciones literarias tradicionales y contemporáneas en inglés.,Investiga en textos literarios en inglés sobre pueblos indígenas y/o afrodescendientes de México o el mundo. Elabora por escrito una apreciación sobre la relevancia y el valor social y cultural de los pueblos indígenas y/o afrodescendientes de México o el mundo.
Lenguajes,Inglés,3º,Creaciones literarias tradicionales y contemporáneas en inglés.,"Crea textos breves en inglés para exponer una situación o tema de interés, con recursos narrativos, poéticos, visuales, escénicos o musicales."
Lenguajes,Inglés,1º,"El inglés para expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad.","Lleva a cabo juegos del lenguaje en inglés para expresar sensaciones, emociones, sentimientos e ideas sobre las familias y la escuela."
Lenguajes,Inglés,2º,"El inglés para expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad.","Realiza entrevistas en inglés para recuperar opiniones acerca de emociones, sentimientos e ideas sobre la escuela y la comunidad."
Lenguajes,Inglés,3º,"El inglés para expresar sensaciones, emociones, sentimientos e ideas vinculados con las familias, la escuela y la comunidad.","Investiga y recupera manifestaciones culturales y artísticas de su comunidad, para difundirlas en inglés."
Lenguajes,Inglés,1º,"Relatos en inglés para expresar sucesos significativos familiares, escolares, comunitarios y sociales.","Entrevista y narra en inglés sucesos significativos familiares, escolares, comunitarios o sociales recuperados de la memoria colectiva."
Lenguajes,Inglés,2º,"Relatos en inglés para expresar sucesos significativos familiares, escolares, comunitarios y sociales.","Investiga un acontecimiento familiar, escolar o comunitario significativo, recuperado de la memoria colectiva, para redactar una reflexión en inglés."
Lenguajes,Inglés,3º,"Relatos en inglés para expresar sucesos significativos familiares, escolares, comunitarios y sociales.","Recupera un acontecimiento histórico comunitario y elabora un texto oral y escrito en inglés, para expresar su postura, haciendo uso de recursos visuales o auditivos."
Lenguajes,Inglés,1º,"Comunicación asertiva y dialógica en inglés, para erradicar expresiones de violencia en la familia, la escuela y la comunidad.","Recupera de distintos textos en inglés, expresiones de violencia presentes en las familias, la escuela o la comunidad, para reflexionar sobre sus causas y consecuencias, y muestra una postura de rechazo."
Lenguajes,Inglés,2º,"Comunicación asertiva y dialógica en inglés, para erradicar expresiones de violencia en la familia, la escuela y la comunidad.","Participa en un panel de discusión en inglés, sobre la importancia de la comunicación asertiva y dialógica para erradicar expresiones de violencia en la familia, la escuela y la comunidad."
Lenguajes,Inglés,3º,"Comunicación asertiva y dialógica en inglés, para erradicar expresiones de violencia en la familia, la escuela y la comunidad.","Diseña y difunde en inglés propuestas escritas u orales, para sensibilizar a la comunidad escolar sobre la importancia de erradicar expresiones de violencia."
Lenguajes,Inglés,1º,"Mensajes en inglés en medios de comunicación masiva, que promuevan una vida saludable.",Recupera en inglés mensajes que promuevan una vida saludable y los difunde de manera oral o escrita en la comunidad escolar.
Lenguajes,Inglés,2º,"Mensajes en inglés en medios de comunicación masiva, que promuevan una vida saludable.","Analiza características de mensajes en inglés intermitentes en medios de comunicación masiva que promuevan una vida saludable, para compartirlos mediante una presentación."
Lenguajes,Inglés,3º,"Mensajes en inglés en medios de comunicación masiva, que promuevan una vida saludable.",Cuenta en inglés con herramientas en medios de comunicación masiva para proponer e implementar una campaña que promueva una vida saludable en la comunidad escolar.
Lenguajes,Inglés,1º,El uso del inglés para expresar opiniones sobre temas de interés comunitario.,Elabora textos breves en inglés para dar a conocer su opinión sobre temas de interés comunitario y los difunde por algún medio de comunicación.
Lenguajes,Inglés,2º,El uso del inglés para expresar opiniones sobre temas de interés comunitario.,"Investiga en inglés sobre un tema de interés comunitario de su elección, expresa su opinión de manera oral y escrita fundamentando sus puntos de vista."
Lenguajes,Inglés,3º,El uso del inglés para expresar opiniones sobre temas de interés comunitario.,"Construye textos argumentativos en inglés sobre un tema de interés comunitario de su elección, fundamentando su postura para proponer e implementar soluciones en la comunidad escolar."
Saberes y Pensamiento Científico,Matemáticas,1º,Expresión de fracciones como decimales y de decimales como fracciones.,Usa diversas estrategias al convertir números fraccionarios a decimales y viceversa.
Saberes y Pensamiento Científico,Matemáticas,1º,Extensión de los números a positivos y negativos y su orden.,Reconoce la necesidad de los números negativos a partir de usar cantidades que tienen al cero como referencia.
Saberes y Pensamiento Científico,Matemáticas,2º,Extensión de los números a positivos y negativos y su orden.,"Compara y ordena números con signo (enteros, fracciones y decimales) en la recta numérica y analiza en qué casos se cumple la propiedad de densidad."
Saberes y Pensamiento Científico,Matemáticas,1º,Extensión del significado de las operaciones y sus relaciones inversas.,Reconoce el significado de las cuatro operaciones básicas y sus relaciones inversas al resolver problemas que impliquen el uso de números con signo.
Saberes y Pensamiento Científico,Matemáticas,1º,Extensión del significado de las operaciones y sus relaciones inversas.,"Comprueba y argumenta si cada una de estas operaciones cumple las propiedades: conmutativa, asociativa y distributiva."
Saberes y Pensamiento Científico,Matemáticas,1º,Extensión del significado de las operaciones y sus relaciones inversas.,Identifica y aplica la jerarquía de operaciones y símbolos de agrupación al realizar cálculos.
Saberes y Pensamiento Científico,Matemáticas,2º,Extensión del significado de las operaciones y sus relaciones inversas.,Usa criterios de divisibilidad y números primos al resolver problemas que implican calcular el máximo común divisor y el mínimo común múltiplo.
Saberes y Pensamiento Científico,Matemáticas,2º,Extensión del significado de las operaciones y sus relaciones inversas.,Calcula potencias con exponente entero y la raíz cuadrada. Usa la notación científica.
Saberes y Pensamiento Científico,Matemáticas,3º,Extensión del significado de las operaciones y sus relaciones inversas.,Usa la notación científica al realizar cálculos con cantidades muy grandes o muy pequeñas.
Saberes y Pensamiento Científico,Matemáticas,1º,Regularidades y Patrones.,Representa algebraicamente una sucesión con progresión aritmética de figuras y números.
Saberes y Pensamiento Científico,Matemáticas,2º,Regularidades y Patrones.,Representa algebraicamente una sucesión con progresión cuadrática de figuras y números.
Saberes y Pensamiento Científico,Matemáticas,1º,Introducción al álgebra.,Interpreta y plantea diversas situaciones del lenguaje común al lenguaje algebraico y viceversa
Saberes y Pensamiento Científico,Matemáticas,1º,Introducción al álgebra.,Representa algebraicamente perímetros de figuras.
Saberes y Pensamiento Científico,Matemáticas,2º,Introducción al álgebra.,Representa algebraicamente áreas que generan una expresión cuadrática.
Saberes y Pensamiento Científico,Matemáticas,2º,Introducción al álgebra.,Identifica y usa las propiedades de los exponentes al resolver distintas operaciones algebraicas.
Saberes y Pensamiento Científico,Matemáticas,3º,Introducción al álgebra.,Representa algebraicamente áreas y volúmenes de cuerpos geométricos y calcula el valor de una variable en función de las otras.
Saberes y Pensamiento Científico,Matemáticas,1º,Ecuaciones lineales y cuadráticas.,"Resuelve ecuaciones de la forma $Ax=B$, $Ax+B=C$, $Ax+B=Cx+D$ con el uso de las propiedades de la igualdad."
Saberes y Pensamiento Científico,Matemáticas,1º,Ecuaciones lineales y cuadráticas.,Modela y resuelve problemas cuyo planteamiento es una ecuación lineal.
Saberes y Pensamiento Científico,Matemáticas,1º,Ecuaciones lineales y cuadráticas.,Resuelve problemas de porcentajes en diversas situaciones.
Saberes y Pensamiento Científico,Matemáticas,2º,Ecuaciones lineales y cuadráticas.,Resuelve desigualdades con expresiones algebraicas.
Saberes y Pensamiento Científico,Matemáticas,2º,Ecuaciones lineales y cuadráticas.,Modela y soluciona sistemas de dos ecuaciones lineales con dos incógnitas por algún método para dar respuesta a un problema.
Saberes y Pensamiento Científico,Matemáticas,3º,Ecuaciones lineales y cuadráticas.,Resuelve ecuaciones de la forma $Ax^2+Bx+C=0$ por factorización y fórmula general.
Saberes y Pensamiento Científico,Matemáticas,3º,Ecuaciones lineales y cuadráticas.,Resuelve problemas cuyo planteamiento es una ecuación cuadrática.
Saberes y Pensamiento Científico,Matemáticas,1º,Funciones.,"Relaciona e interpreta relaciones proporcional y no proporcional a partir de su representación tabular, gráfica y con diagramas."
Saberes y Pensamiento Científico,Matemáticas,1º,Funciones.,Modela y resuelve diversas situaciones a través de ecuaciones proporcionales con constante positiva y negativa.
Saberes y Pensamiento Científico,Matemáticas,2º,Funciones.,Modela y resuelve diversas situaciones a través de ecuaciones proporcionales con constante positiva y negativa.
Saberes y Pensamiento Científico,Matemáticas,2º,Funciones.,"Identifica que una función lineal puede representarse de manera tabular, gráfica y algebraica, y analiza sus variaciones."
Saberes y Pensamiento Científico,Matemáticas,3º,Funciones.,"Relaciona e interpreta la variación de dos cantidades a partir de su representación tabular, gráfica y algebraica."
Saberes y Pensamiento Científico,Matemáticas,3º,Funciones.,Explora las propiedades de funciones cuadráticas y modela situaciones con expresiones algebraicas de segundo grado.
Saberes y Pensamiento Científico,Matemáticas,1º,Rectas y ángulos.,"Encuentra y calcula las medidas de los ángulos que se forman al intersecarse dos rectas, incluyendo las relaciones de ángulos opuestos por el vértice, adyacentes, complementarios y suplementarios."
Saberes y Pensamiento Científico,Matemáticas,1º,Rectas y ángulos.,"Explora las figuras básicas de la geometría (punto, recta, segmento, rayo y plano) y las propiedades de las rectas paralelas y perpendiculares."
Saberes y Pensamiento Científico,Matemáticas,2º,Rectas y ángulos.,"Identifica y calcula los ángulos que se forman al intersecarse dos rectas paralelas por una transversal (ángulos alternos internos, alternos externos, correspondientes)."
Saberes y Pensamiento Científico,Matemáticas,1º,Construcción y propiedades de las figuras planas y cuerpos.,"Utiliza regla y compás para trazar puntos medios, mediatrices, bisectrices, rectas perpendiculares y paralelas."
Saberes y Pensamiento Científico,Matemáticas,1º,Construcción y propiedades de las figuras planas y cuerpos.,"Identifica y comprueba las propiedades de congruencia y semejanza de triángulos, y la propiedad de la suma de los ángulos internos de los triángulos y cuadriláteros."
Saberes y Pensamiento Científico,Matemáticas,2º,Construcción y propiedades de las figuras planas y cuerpos.,"Construye con regla y compás polígonos regulares a partir de distintas informaciones (lados, ángulos, diagonales) y analiza sus propiedades."
Saberes y Pensamiento Científico,Matemáticas,3º,Construcción y propiedades de las figuras planas y cuerpos.,"Aplica las propiedades de la congruencia y semejanza de triángulos al resolver problemas, y analiza las propiedades de los sólidos de revolución (cilindro, cono y esfera)."
Saberes y Pensamiento Científico,Matemáticas,3º,Teorema de Pitágoras.,"Formula, justifica y aplica el Teorema de Pitágoras en la resolución de problemas geométricos y situaciones de la vida cotidiana."
Saberes y Pensamiento Científico,Matemáticas,1º,Medición y cálculo en diferentes contextos.,Obtiene y aplica fórmulas para calcular el perímetro y el área de polígonos regulares e irregulares y del círculo.
Saberes y Pensamiento Científico,Matemáticas,1º,Medición y cálculo en diferentes contextos.,Introduce el concepto de volumen al calcular el espacio ocupado por prismas rectos.
Saberes y Pensamiento Científico,Matemáticas,2º,Medición y cálculo en diferentes contextos.,Resuelve problemas que implican calcular el área y volumen de prismas y cilindros rectos mediante el uso de expresiones algebraicas y fórmulas generales.
Saberes y Pensamiento Científico,Matemáticas,3º,Medición y cálculo en diferentes contextos.,"Formula y resuelve problemas que implican calcular el volumen de conos, pirámides y esferas, estableciendo relaciones de volumen entre estos cuerpos geométricos."
Saberes y Pensamiento Científico,Matemáticas,1º,Obtención y representación de información.,"Usa tablas, gráficas de barra y circulares para el análisis de información proveniente de diversas fuentes."
Saberes y Pensamiento Científico,Matemáticas,1º,Obtención y representación de información.,"Lee, interpreta y comunica información que se encuentra en este tipo de representaciones."
Saberes y Pensamiento Científico,Matemáticas,2º,Obtención y representación de información.,"Recolecta, registra y lee datos en histogramas, gráficas poligonales y de línea para interpretar la tendencia de la información."
Saberes y Pensamiento Científico,Matemáticas,3º,Obtención y representación de información.,"Lee, interpreta y comunica información empleando gráficas de caja y brazos, analizando críticamente los datos presentados en medios de comunicación."
Saberes y Pensamiento Científico,Matemáticas,1º,Interpretación de la información a través de medidas de tendencia central y de dispersión.,"Determina y compara las medidas de tendencia central (media, mediana y moda) y de dispersión (rango) de dos conjuntos de datos para tomar decisiones."
Saberes y Pensamiento Científico,Matemáticas,2º,Interpretación de la información a través de medidas de tendencia central y de dispersión.,"Usa e interpreta las medidas de tendencia central y de dispersión (desviación media) en un conjunto de datos, justificando sus conclusiones."
Saberes y Pensamiento Científico,Matemáticas,3º,Interpretación de la información a través de medidas de tendencia central y de dispersión.,Determina y compara los percentiles y cuartiles de un conjunto de datos para analizar de forma detallada la distribución de la información.
Saberes y Pensamiento Científico,Matemáticas,1º,Azar y probabilidad.,"Identifica eventos complementarios, mutuamente excluyentes e independientes en la realización de experimentos aleatorios."
Saberes y Pensamiento Científico,Matemáticas,1º,Azar y probabilidad.,Calcula la probabilidad teórica y frecuencial de un evento simple y analiza sus diferencias.
Saberes y Pensamiento Científico,Matemáticas,2º,Azar y probabilidad.,Resuelve problemas que implican el cálculo de la probabilidad de eventos mutuamente excluyentes y de eventos independientes en situaciones lúdicas o cotidianas.
Saberes y Pensamiento Científico,Matemáticas,3º,Azar y probabilidad.,"Indaga las condiciones necesarias para que un juego de azar sea justo, analizando nociones de probabilidad condicional y el espacio muestral en experimentos compuestos."
Saberes y Pensamiento Científico,Biología,1º,"Los procesos vitales de los seres vivos: nutrición, relación con el medio y reproducción.","Compara las características comunes de los seres vivos, identifica que todos tienen estructuras especializadas para la nutrición, la relación con el medio y la reproducción y los registra como rasgos clasificados para su estudio."
Saberes y Pensamiento Científico,Biología,1º,"Los procesos vitales de los seres vivos: nutrición, relación con el medio y reproducción.",Explica la importancia de la reproducción como proceso para la permanencia de las especies de seres vivos.
Saberes y Pensamiento Científico,Biología,1º,La biodiversidad como expresión del cambio de los seres vivos en el tiempo.,"Analiza información acerca de el estado de la biodiversidad local a partir de fuentes documentales, conjetura razones de su abundancia o escasez de especies y propone acciones para su cuidado."
Saberes y Pensamiento Científico,Biología,1º,La biodiversidad como expresión del cambio de los seres vivos en el tiempo.,Explica los criterios que sustentan la clasificación de los seres vivos de acuerdo con los avances de la ciencia y la tecnología.
Saberes y Pensamiento Científico,Biología,1º,La biodiversidad como expresión del cambio de los seres vivos en el tiempo.,"Describe la importancia de los fósiles y del registro fósil, como pruebas del cambio de la biodiversidad en el tiempo."
Saberes y Pensamiento Científico,Biología,1º,La biodiversidad como expresión del cambio de los seres vivos en el tiempo.,Explica los cambios que han ocurrido en los ecosistemas locales en relación con la biodiversidad a partir de actividades humanas y de fenómenos naturales.
Saberes y Pensamiento Científico,Biología,1º,El calentamiento global a partir de las prácticas de consumo y su alteración a la biodiversidad.,Representa las transferencias de materia y energía entre los organismos de un ecosistema mediante redes y pirámides tróficas; elabora explicaciones sobre las consecuencias de la pérdida de biodiversidad y del cambio en las condiciones del entorno a partir de las actividades humanas.
